2026-06-25 15:21:05,620 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] START sync_software (V_CMDB_Software) -- 2026-06-25 15:21:05.621178
2026-06-25 15:21:05,948 [ERROR] [upsert] Gagal pada SoftwareName=ComputerHardwareIds is a tool to derive the computer hardware ids from SMBIOS information.: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,948 [ERROR] [upsert] Gagal pada SoftwareName=Conduit.Broker.Host [v10.43]: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,949 [ERROR] [upsert] Gagal pada SoftwareName=ConsoleApplication1: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,950 [ERROR] [upsert] Gagal pada SoftwareName=Control-M 9.0.21.300: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,951 [ERROR] [upsert] Gagal pada SoftwareName=Control-M Automation API (version 9.0.21.300) (Default): ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,951 [ERROR] [upsert] Gagal pada SoftwareName=Control-M Configuration Manager: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,952 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent communication diagnostics utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,953 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent configuration utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,954 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent configuration utility (deprecated): ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,954 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent dsect parser: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,955 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent File watcher utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,956 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent internal disk benchmark: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,956 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent internal exit system call: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,957 [ERROR] [upsert] Gagal pada SoftwareName=Control-M/Agent internal sleep system call: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
